Gene	LogFC	V4	m210_1
BTN2A2	0.682149562	ensembl_havana	protein_coding
SLC30A6	0.680918386	ensembl_havana	protein_coding
DDX26B	0.680129564	ensembl_havana	protein_coding
KIF23	0.678279547	ensembl_havana	protein_coding
NUP155	0.677300804	ensembl_havana	protein_coding
NABP1	0.676829215	ensembl_havana	protein_coding
IGF1R	0.676098906	ensembl_havana	protein_coding
ACOX1	0.675948422	ensembl_havana	protein_coding
ARHGEF3	0.675815492	ensembl_havana	protein_coding
ZNF57	0.675500922	ensembl_havana	protein_coding
SMPDL3B	0.675496628	ensembl_havana	protein_coding
SEMA5A	0.675002485	ensembl_havana	protein_coding
ZNF726	0.674803586	ensembl_havana	protein_coding
RBM6	0.674748374	ensembl_havana	protein_coding
VPS41	0.674705009	ensembl_havana	protein_coding
R3HCC1L	0.674486838	ensembl_havana	protein_coding
CORO2A	0.67435914	ensembl_havana	protein_coding
TBC1D23	0.674270556	ensembl_havana	protein_coding
ZCCHC17	0.673925383	ensembl_havana	protein_coding
ZNF557	0.673365695	ensembl_havana	protein_coding
SLX4	0.673309541	ensembl_havana	protein_coding
SLC4A8	0.673222679	ensembl_havana	protein_coding
PCDHGA10	0.672690538	havana	protein_coding
RFC4	0.672683434	ensembl_havana	protein_coding
FARS2	0.672526559	ensembl_havana	protein_coding
IFNGR1	0.670990683	ensembl_havana	protein_coding
NARS2	0.670485527	ensembl_havana	protein_coding
BRD8	0.670460358	ensembl_havana	protein_coding
HACL1	0.669851645	ensembl_havana	protein_coding
CD99L2	0.669692324	ensembl_havana	protein_coding
RANBP6	0.669483464	havana	protein_coding
CTSK	0.669380458	ensembl_havana	protein_coding
AP5M1	0.668922551	ensembl_havana	protein_coding
C3orf38	0.668046492	ensembl_havana	protein_coding
SLC30A7	0.668046329	ensembl_havana	protein_coding
SUGT1	0.66686748	ensembl_havana	protein_coding
NT5DC3	0.665167245	ensembl_havana	protein_coding
HBS1L	0.665017217	ensembl_havana	protein_coding
DPH2	0.662966145	ensembl_havana	protein_coding
CAV1	0.662757031	ensembl_havana	protein_coding
MFSD8	0.662496598	ensembl_havana	protein_coding
ZNF100	0.662284345	ensembl_havana	protein_coding
MCM3	0.662280774	ensembl_havana	protein_coding
NIPAL3	0.661946069	ensembl_havana	protein_coding
FAM227B	0.661866888	ensembl_havana	protein_coding
AIFM1	0.661460623	ensembl_havana	protein_coding
SOCS2	0.660800354	ensembl_havana	protein_coding
SLC1A2	0.660718733	ensembl_havana	protein_coding
ZNF570	0.66052235	ensembl_havana	protein_coding
CCDC92	0.660130393	ensembl_havana	protein_coding
GPRC5A	0.660006396	ensembl_havana	protein_coding
MR1	0.659943752	ensembl_havana	protein_coding
DBT	0.659817608	ensembl_havana	protein_coding
SGCE	0.659499623	ensembl_havana	protein_coding
PEX16	0.658762004	ensembl_havana	protein_coding
DR1	0.65856645	ensembl_havana	protein_coding
LAS1L	0.658144597	ensembl_havana	protein_coding
ABI1	0.657896879	ensembl_havana	protein_coding
TMEM168	0.656451739	ensembl_havana	protein_coding
HLTF	0.656251651	ensembl_havana	protein_coding
RAD54L	0.655724054	ensembl_havana	protein_coding
RIN2	0.655653868	ensembl_havana	protein_coding
GCAT	0.655315015	ensembl_havana	protein_coding
SF3B3	0.655285046	ensembl_havana	protein_coding
TRIM59	0.655175644	ensembl_havana	protein_coding
MANBA	0.654948858	ensembl_havana	protein_coding
DENND4C	0.654882177	ensembl_havana	protein_coding
EREG	0.65473317	ensembl_havana	protein_coding
TULP4	0.654088188	ensembl_havana	protein_coding
NUSAP1	0.652273101	ensembl_havana	protein_coding
RNMTL1	0.652016106	ensembl_havana	protein_coding
POLB	0.651772594	ensembl_havana	protein_coding
NEK5	0.651755968	ensembl_havana	protein_coding
SAR1B	0.65168092	ensembl_havana	protein_coding
NUP93	0.65167019	ensembl_havana	protein_coding
